KEY,en,notes,sp,fr,de,it,pt-br
KEYWORD_DEHYDRATED_NAME,Жара,,Ola de calor,Vague de chaleur,Hitzewelle,Ondata di calore,Onda de Calor
KEYWORD_DEHYDRATED_DESC,Лечение снижено на 1. Нет лечения после боя. Можно снять водой.,,Las curaciones se reducen en 1. No se cura tras los combates. Se puede mitigar con agua.,Les soins sont réduits de 1. Aucune régénération de PV après le combat. Peut être dissipé avec de l'eau.,Heilungen sind um 1 reduziert. Heilt sich nach dem Kampf nicht. Kann durch Wasser entfernt werden.,Le cure sono ridotte di 1. Non ci si cura dopo la battaglia. Può essere mitigato con l'acqua.,Curas são reduzidas em 1. Não se cura após a batalha. Pode ser mitigada com água.
,,,,,,,
DEBUG_TEST_GERMAN_WORDWRAPPING,WWWW&nbsp;WWW[img:str]WWWW WWWWWWWW,"you dont need to localize this, this was just for testing stuff",WWWW&nbsp;WWW[img:str]WWWW WWWWWWWW,WWWW&nbsp;WWW[img:str]WWWW WWWWWWWW,,WWW&nbsp;WWW[img:str]WWWW WWWWWWWWW,WWW&nbsp;WWW[img:str]WWWW WWWWWWWWW
,,,,,,,
ADVENTURE_BOX_LABEL,[b]Приключение[/b],"this is drawn art in english, and a text box in other languages",[b]Aventura[/b],[b]Aventure[/b],[b]Abenteuer[/b],[b]Avventura[/b],[b]Aventura[/b]
,,,,,,,
EVENT_GENIE_CHOICE_WEALTH,Богатство!,,,La richesse&nbsp;!,Reichtum!,Ricchezza!,Riqueza!
EVENT_GENIE_CHOICE_LOOKS,Красота!,,,La beauté&nbsp;!,Aussehen!,Aspetto!,Beleza!
EVENT_GENIE_CHOICE_POWER,Власть!,,,Le pouvoir&nbsp;!,Macht!,Potere!,Poder!
EVENT_GENIE_CHOICE_CURSEMIND,Проклясть разум,,,Malédiction de l'esprit,Deinen Geist verfluchen,Maledizione della mente,Amaldiçoar mente
EVENT_GENIE_CHOICE_CURSEBODY,Проклясть тело,,,Malédiction du corps,Deinen Körper verfluchen,Maledizione del corpo,Amaldiçoar corpo
EVENT_GENIE_CHOICE_CURSESOUL,Проклясть душу,,,Malédiction de l'âme,Deine Seele verfluchen,Maledizione dell'anima,Amaldiçoar alma
,,,,,,,
POPUP_SWITCH_LANGUAGE_INGAME_WARNING,Некоторый текст может не обновиться до перезапуска игры.,,Es posible que algunos textos no se actualicen al nuevo idioma hasta que reinicies el juego.,Il se peut que certains textes ne changent qu'après avoir redémarré le jeu.,"Starte das Spiel neu, um alle Texte zu aktualisieren.",Alcuni testi potrebbero non aggiornarsi alla nuova lingua finché non riavvii il gioco.,Partes do texto podem não ser atualizadas para o novo idioma até que você reinicie o jogo.
,,,,,,,
TOOLTIP_HINT_UNCOMPLETABLE_QUEST_LABEL,Чего-то не хватает...,,,Il manque quelque chose...,Etwas fehlt hier&nbsp;…,Manca qualcosa...,Algo está faltando...
TOOLTIP_HINT_UNCOMPLETABLE_QUEST_DESC,У вас пока нет возможности завершить этот квест.,,,Vous ne pouvez pas effectuer cette quête pour le moment.,Du kannst diese Quest momentan nicht abschließen.,Al momento non hai i mezzi per completare questa missione.,Você não possui os meios para concluir esta missão neste momento.
,,,,,,,
EVENT_MYSTERIOUSTENT_PROMPT,Войти в магазин,,,Accès boutique,Shop betreten,Entra nel negozio,Entrar na loja
EVENT_TRACY_REW3B,"[i]""Вот, возьми еды.""[/i]",,,"[i]«&nbsp;Tiens, de quoi manger.&nbsp;»[/i]","[i]„Hier, ein bisschen Futter.“[/i]","[i]""Ecco, prendi del cibo.""[/i]","[i]""Aqui, tome um pouco de comida.""[/i]"
,,,,,,,
QEVENT_STACYMUTANT1_NAME,Эксперимент Стейси,,,Expérience Stacy,Stacys Experiment,Esperimento di Stacy,Experimento de Stacy
QEVENT_STACYMUTANT1_QUES1,"{catname} находит большую машину с кнопками.

Сквозь прозрачное окно {he} видит странного кота с лишней головой.",First time seeing event only.,,"{catname} découvre une grande machine dotée d'un tas de boutons.

À travers la fenêtre transparente, {he} aperçoit un étrange chat avec une tête supplémentaire.","{catname} findet eine große Maschine mit mehreren Knöpfen.

Durch das Fenster kann {he} eine komische Katze mit zwei Köpfen sehen.","{catname} trova una grande macchina con diversi pulsanti.

Attraverso la finestra trasparente vede uno strano gatto con una testa in più.","{catname} encontra uma máquina grande com vários botões.

Através da janela transparente, é possível ver um gato estranho com uma cabeça extra."
QEVENT_STACYMUTANT1_QUES1_M,,,,,,,
QEVENT_STACYMUTANT1_QUES1_F,,,,,,,
